ID,created_at,reporter_agent,severity,priority,repo,category,title,status,assigned_agent,evidence_path,notes
WE-20260527-001,2026-05-27T15:30:00Z,qa-functional-3,P1,High,Wedding-Ease-Viva-Chat,functional,PostHog analytics proxy returns 404 on every page load,in_review,fix-frontend,qa-harness/evidence/WE-20260527-001/,fix-WE-20260527-001` (PRs into `Bug-Resolve-claude`)
WE-20260527-002,2026-05-27T15:31:00Z,qa-functional-3,P0,Critical,easebot-backend` (Gemini primary / Azure,functional,"Image generation never completes — ""Something went wrong"" after >2 min",triaged,fix-backend-api,qa-harness/evidence/WE-20260527-002/,
WE-20260527-003,2026-05-27T15:32:00Z,qa-functional-3,P2,High,Wedding-Ease-Viva-Chat,e2e-flow,/checkout silently redirects guests to /pricing without explanation,triaged,fix-frontend,qa-harness/evidence/WE-20260527-003/,
WE-20260527-004,2026-05-27T15:33:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,a11y,Dialog without DialogTitle — accessibility console error (Radix UI warning),duplicate` (canonical: `WE-20260527-066`),,qa-harness/evidence/WE-20260527-004/,
WE-20260527-005,2026-05-27T15:34:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,responsive,"""Help me decide"" CTA + glass action card hidden on mobile",triaged,fix-frontend,qa-harness/evidence/WE-20260527-005/,
WE-20260527-006,2026-05-27T15:35:00Z,qa-functional-3,P1,High,Wedding-Ease-Viva-Chat,functional,AnalyticsConsent banner blocks clicks on chat input on first load,duplicate` (canonical: `WE-20260527-050`),,qa-harness/evidence/WE-20260527-006/,
WE-20260527-007,2026-05-27T15:36:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,responsive,Attach button hidden on desktop (`visible:false`),triaged,fix-frontend,qa-harness/evidence/WE-20260527-007/,
WE-20260527-008,2026-05-27T15:37:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,a11y,Two duplicate Attach buttons in DOM with identical aria-label,new,,qa-harness/evidence/WE-20260527-008/,
WE-20260527-009,2026-05-27T15:38:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,a11y,"Send button has no aria-label (zero ""send""-related aria on home)",duplicate` (canonical: `WE-20260527-250`),,qa-harness/evidence/WE-20260527-009/,
WE-20260527-010,2026-05-27T15:39:00Z,qa-functional-3,P2,High,Wedding-Ease-Viva-Chat,functional,Voice / microphone button missing on desktop home,triaged,fix-frontend,qa-harness/evidence/WE-20260527-010/,
