ID,created_at,reporter_agent,severity,priority,repo,path,url_or_page,breakpoint,category,title,description,steps_to_reproduce,expected,actual,evidence_path,assigned_agent,status,last_updated,pr_url,progress_html_path,notes
WE-20260527-001,2026-05-27T15:30:00Z,qa-functional-3,P1,High,Wedding-Ease-Viva-Chat,vite.config.ts` (proxy not configured for `/ingest`) and/or `src/lib/analytics.ts:163,http://localhost:8081/` (all routes),all,functional,PostHog analytics proxy returns 404 on every page load,"Every page load logs two PostHog 404s plus a MIME-type console error. PostHog config endpoint `/ingest/array/phc_.../config.js` (and `/config?ip=0&...`) returns 404 because there is no Vite dev proxy or backend route at `/ingest`. With `VITE_POSTHOG_HOST` defaulting to `/ingest` (`src/lib/analytics.ts:163`), all analytics fetches fail in dev. Feature flags, capture events, and session recordings …",1. `cd Wedding-Ease-Viva-Chat && npm run dev` (already up at :8081). 2. Open `http://localhost:8081/` in any browser or via Playwright with console + network capture. 3. Observe network panel.,PostHog client either loads from a configured proxy/host or is disabled cleanly (no console errors when `VITE_POSTHOG_ENABLED !== 'true'`).,Two requests fail with HTTP 404 on every page: - `GET /ingest/array/phc_C3dxDiWMwVzdTWbXbDXvp98L9XCm2qFTJtcgxenkkBXV/config.js` → 404 - `GET /ingest/array/phc_.../config?ip=0&_=<ts>&ver=1.369.3` → 40…,qa-harness/evidence/WE-20260527-001/,fix-frontend,in_review,2026-05-27T17:20:11.083847,,qa-harness/progress/WE-20260527-001/progress.html,fix-WE-20260527-001` (PRs into `Bug-Resolve-claude`)
WE-20260527-002,2026-05-27T15:31:00Z,qa-functional-3,P0,Critical,easebot-backend` (Gemini primary / Azure fallback path) + frontend `useChat,"easebot-backend/src/services/imageGeneration.ts`, `easebot-backend/src/controllers/imageController.ts`, `src/pages/Index.tsx:743` (TTS unrelated — image path is in chat stream)","http://localhost:8081/` (chat composer, any prompt asking for an image)",all,functional,"Image generation never completes — ""Something went wrong"" after >2 min","A guest sends the prompt ""Generate an image of pastel mandap with white roses"". The bubble immediately shows ""generating... creating your image"" and the request POSTs to `http://localhost:3001/api/chat/stream` (returns HTTP 200, SSE). After ~110s the placeholder is replaced with ""Something went wrong. Please try again."" No image ever renders. No image is added to the gallery. The free-tier image …",1. Open `http://localhost:8081/` as a guest (incognito). 2. Dismiss the analytics consent banner. 3. In the chat input type: `Generate an image of pastel mandap with white roses` and press Enter. 4. Wait up to 2 minutes.,"Either (a) an image renders inline within ~30 s, the gallery and image counter update, **or** (b) a clear, fast failure path with a useful error message and no token/quota debit.","After ~110s the bubble swaps to the generic ""Something went wrong. Please try again."" string. No actionable error code, no retry payload visible, and the image counter does NOT decrement (so token-de…",qa-harness/evidence/WE-20260527-002/,fix-backend-api,triaged,2026-05-27T15:55:43.806696,,,
WE-20260527-003,2026-05-27T15:32:00Z,qa-functional-3,P2,High,Wedding-Ease-Viva-Chat,"src/App.tsx:93` (`<Route path=""/checkout"" element={<Checkout />} />`) — likely a guard inside `Checkout.tsx",http://localhost:8081/checkout?plan=pro&billing=monthly,all,e2e-flow,/checkout silently redirects guests to /pricing without explanation,"Hitting `/checkout?plan=pro&billing=monthly` while signed out silently 302s/replaces to `/pricing` with no message. Users (and external ""upgrade"" CTAs in the pricing rollout) cannot deep-link into checkout without being told they need to sign in first.",1. Open incognito at `http://localhost:8081/checkout?plan=pro&billing=monthly`. 2. Observe the address bar.,"If guest, either render the checkout page with an inline ""Sign in to continue"" gate, or redirect to `/login?returnTo=/checkout?plan=pro&billing=monthly` so the user is brought back after auth.","URL silently becomes `/pricing`. Plan/billing query params are lost. No toast, no explanation.",qa-harness/evidence/WE-20260527-003/,fix-frontend,triaged,2026-05-27T15:55:43.807220,,,
WE-20260527-004,2026-05-27T15:33:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,Settings/feedback dialog tree — one Radix DialogContent rendered without a child DialogTitle (Settings shell itself is OK; another nested dialog is the offender).,http://localhost:8081/?settings=account` (open Settings),all,a11y,Dialog without DialogTitle — accessibility console error (Radix UI warning),"Opening the Settings modal logs: ``` `DialogContent` requires a `DialogTitle` for the component to be accessible for screen reader users. Warning: Missing `Description` or `aria-describedby={undefined}` for {DialogContent}. ``` The top-level `SettingsShell.tsx:267` sets `aria-labelledby=""settings-shell-title""`, so it is **not** the offender. Some nested dialog (likely a sub-modal triggered when t…","1. `http://localhost:8081/` → dismiss consent. 2. Click ""Settings"" in left sidebar (or `?settings=account` URL). 3. Open DevTools console.",No Radix accessibility warnings. Every DialogContent gets a `DialogTitle` (use `VisuallyHidden` if visually undesired).,The two warnings above print on every modal render. Screen readers won't announce the dialog purpose.,qa-harness/evidence/WE-20260527-004/,,duplicate` (canonical: `WE-20260527-066`),2026-05-27T15:54:49.784942,,,
WE-20260527-005,2026-05-27T15:34:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,"src/pages/Index.tsx:1550` — `className=""glass-action-card hidden sm:flex …""",http://localhost:8081/` (mobile / viewport ≤ 640 px),mobile,responsive,"""Help me decide"" CTA + glass action card hidden on mobile","The empty-state hero banner ""Not sure where to start? … [Help me decide]"" is rendered with `hidden sm:flex`, so mobile users (where the AI-led onboarding affordance is arguably most important) never see the prominent ""Help me decide"" CTA. The four small action cards survive, but the unified entry point doesn't.",1. Open `http://localhost:8081/` in a 375×667 viewport (iPhone SE / Playwright `isMobile: true`). 2. Dismiss consent. 3. Inspect the empty state.,"The ""Help me decide"" CTA banner is visible on mobile (or replaced with a mobile-tuned equivalent that surfaces the same prompt). Per walkthroughpoints.md, the starting prompt options should be the mo…","Only four small cards render: ""What should I get"", ""Help me plan"", ""Show me ideas"", ""Ask anything"". The ""Help me decide"" hero CTA is absent.",qa-harness/evidence/WE-20260527-005/,fix-frontend,triaged,2026-05-27T15:55:43.807535,,,
WE-20260527-006,2026-05-27T15:35:00Z,qa-functional-3,P1,High,Wedding-Ease-Viva-Chat,src/components/AnalyticsConsent.tsx:62,"http://localhost:8081/` (first visit, anywhere it overlaps the composer)",all (mobile worse — the banner covers the bottom-anchored input directly),functional,AnalyticsConsent banner blocks clicks on chat input on first load,"`AnalyticsConsent.tsx` is rendered as a `fixed bottom-4 left-1/2 z-[100]` dialog with `role=""dialog""`. The dialog **intercepts pointer events** on the area below it, including the chat textarea/send button (both ChatInput and the language menu trigger). Until the user clicks Accept or Decline, the chat composer is effectively unclickable in the overlap region. Playwright's auto-retry click hits t…",1. Clear `localStorage` (`localStorage.clear()`). 2. Reload `http://localhost:8081/` — the banner appears at bottom-center. 3. Try to click the chat textarea or the language-menu chip in the overlap zone *without* dismissing the banner.,"Either (a) the banner does not block interactions below it (use `pointer-events:none` on the wrapper, `pointer-events:auto` on the inner card), or (b) the consent banner is repositioned so it never o…","Pointer events are blocked. Click locator targeting `textarea` says: ""element is visible, enabled and stable"" but `<div … aria-label=""Analytics consent"" …> subtree intercepts pointer events"". Users m…",qa-harness/evidence/WE-20260527-006/,,duplicate` (canonical: `WE-20260527-050`),2026-05-27T15:54:49.784558,,,
WE-20260527-007,2026-05-27T15:36:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,src/components/chat/ChatInput.tsx` (or wherever the attach button is rendered),http://localhost:8081/` (desktop 1440×900),desktop,responsive,Attach button hidden on desktop (`visible:false`),"Inspecting all `<button aria-label=""Attach"">` elements on the desktop home page finds two buttons but Playwright reports both with `isVisible() === false`. The vision input flow (PRD-TTS-Pipeline / chatupdates.md / image upload + tasting prompts) cannot be triggered without an attach affordance.","1. Desktop viewport (≥1024px) → `http://localhost:8081/`. 2. Dismiss consent. 3. Inspect `button[aria-label=""Attach""]` — `getComputedStyle(btn).display` is `none` or `visibility:hidden`.",Attach button visible to all users on desktop (free guests can still upload one image per the documented vision flow; quota enforced server-side).,"The button is in the DOM (×2 instances — themselves a bug, see WE-20260527-008) but neither is rendered to the user. Effectively the only way to upload an image is mobile.",qa-harness/evidence/WE-20260527-007/,fix-frontend,triaged,2026-05-27T15:55:43.807853,,,
WE-20260527-008,2026-05-27T15:37:00Z,qa-functional-3,P3,Low,Wedding-Ease-Viva-Chat,src/components/chat/ChatInput.tsx` and/or `src/pages/Index.tsx,http://localhost:8081/,all,a11y,Two duplicate Attach buttons in DOM with identical aria-label,"DOM probe shows two `<button aria-label=""Attach"">` elements on the home page. Screen readers will announce the same button twice, and tab-order will visit a hidden duplicate. One is likely the mobile variant, the other desktop, but both ship without any visual differentiation in DOM.","1. Open `http://localhost:8081/`. 2. In DevTools console: `document.querySelectorAll('button[aria-label=""Attach""]').length` → returns `2`.","A single attach button (responsive via CSS), or two buttons with distinct context (e.g. `aria-label=""Attach image (mobile)""`).",Two identical Attach buttons — see WE-20260527-007 for the visibility problem; this is the structural cause.,qa-harness/evidence/WE-20260527-008/,,new,2026-05-27T15:33:13.844955,,,
WE-20260527-009,2026-05-27T15:38:00Z,qa-functional-3,P2,Medium,Wedding-Ease-Viva-Chat,src/components/chat/ChatInput.tsx,http://localhost:8081/,all,a11y,"Send button has no aria-label (zero ""send""-related aria on home)","Enumerating every `button[aria-label]` on `/` returns: ``` [""Send Feedback"",""Beta program info"",""Response language"",""Switch to dark mode"",""Reset occasion and mode"",""Attach"",""Attach""] ``` No entry for Send/Submit. The send button (the up-arrow icon at the right of the composer) ships without `aria-label`, so screen-reader users hear only the SVG title (if any).",1. `http://localhost:8081/`. 2. In console: `[...document.querySelectorAll('button')].map(b => b.getAttribute('aria-label') || b.innerText.trim()).filter(Boolean)`.,"Send icon button has `aria-label=""Send message""` (or similar) and a programmatic disabled state when input is empty.","No aria-label. Filling the textarea with text does NOT change any aria-labelled ""send"" button (because none exists with that label).",qa-harness/evidence/WE-20260527-009/,,duplicate` (canonical: `WE-20260527-250`),2026-05-27T15:54:49.785912,,,
WE-20260527-010,2026-05-27T15:39:00Z,qa-functional-3,P2,High,Wedding-Ease-Viva-Chat,src/components/chat/ChatInput.tsx` (mic-button render),http://localhost:8081/` (desktop),desktop,functional,Voice / microphone button missing on desktop home,"On desktop, the chat input has no microphone / voice-record affordance reachable via accessible queries. Aria enumeration on `/` returns no `aria-label` containing `mic`, `voice`, `record`, or `dictate`. On mobile (screenshot `WE-20260527-005`), a mic icon is visible in the input — so voice IS implemented but only renders on small viewports. Per PRD-TTS-Pipeline §1, voice input via the Speech SDK…",1. Desktop `http://localhost:8081/`. 2. Inspect the chat composer. No mic icon to the right of the textarea. 3. Mobile (375 px) same page — mic IS visible.,"Voice/mic button visible on both desktop and mobile (and accessible: `aria-label=""Start voice input""`).","Desktop hides it entirely; only ""Attach"" buttons exist (and those are also hidden — WE-20260527-007).",qa-harness/evidence/WE-20260527-010/,fix-frontend,triaged,2026-05-27T15:55:43.808421,,,
