rank,ticket_id,sprint,severity,assigned_agent,cluster,title,file_scope,one_liner
1,WE-20260528-558,S2,P0,fix-state-data,#2 cross-tab,subscribeToMessages defined but never called — tab B blind to tab A's chat,src/hooks/useChat.ts (1-line call),One-line fix; pair tab B never sees new messages
2,WE-20260528-011/012/804,S1+S3,P0,fix-frontend+fix-backend-api,#3 pricing,Pro tier shipping at $10/$79 instead of locked $14.99/$119 — 33% revenue undercut,Pricing.tsx:30,53 + paymentController.ts:42-43 + subscriptionStateMachine.ts,Revenue leak; needs Krish go-ahead before fix
3,WE-20260528-552/967,S2+S3,P0,fix-state-data,#2 cross-tab,Multi-tab logout — tab B keeps authed UI 5-10s,AuthContext.tsx + authService.ts signOutUser + queryClient.clear,Cross-tab logout fail; pairs with -971 BC scaffold
4,WE-20260528-202+248+001,S1,P0,fix-backend-api,#5 security triad,requireAuth permissive + CORS=* + speech-token public = drive-by Azure quota theft,requireAuth.ts + app.ts CORS + speechController.ts,Security triad PR; needs Krish go-ahead
5,WE-20260528-101,S1,P0,fix-backend-api,—,Vibe forceImageGeneration 500 — base64 PNG in RegExp constructor,easebot-backend/src/controllers/chatController.ts:1062,Whole Vibe path broken; non-stream path never patched
6,WE-20260528-002,S1,P0,fix-backend-api,#5 security triad,SSML injection in /api/tts via unsanitized voiceName (no Zod),easebot-backend/src/controllers/ttsController.ts,Attacker chooses voice or leaks vendor errors
7,WE-20260528-203,S1,P0,fix-backend-api,#5 security triad,inputSanitizer skips history[].content — control chars reach LLM + logs,easebot-backend/src/middleware/inputSanitizer.ts,Log poisoning + persisted NUL bytes
8,WE-20260528-102,S1,P0,fix-frontend,—,Guest-cap error links to /signup — route 404s,Wedding-Ease-Viva-Chat/src/hooks/useChat.ts:840 + App.tsx,Conversion funnel structurally broken
9,WE-20260528-004,S1,P0,fix-backend-api,—,PayU redirect to :8080 (dev frontend on :8081) — payment callback dies blank,easebot-backend/src/controllers/paymentController.ts,Every payment lands on blank page in dev
10,WE-20260528-152/809,S1+S3,P0,fix-state-data,#1 AuthContext,AuthContext.profile loaded once via getDoc no onSnapshot (PR #32 not landed),Wedding-Ease-Viva-Chat/src/contexts/AuthContext.tsx:87-145,Architectural root of ~27 stale-everywhere bugs
11,WE-20260528-151,S1,P0,fix-state-data,#1 AuthContext,Nickname change in SettingsModal never reaches AuthContext.profile,SettingsModal.tsx:151 + AuthContext + useAccount,#1 user complaint; child of -152
12,WE-20260528-301/1101/1114,S1+S3,P0,fix-performance,—,LCP 10.3s on /chat — regressed to 10s on prod build; Sprint-1 perf PRs never shipped,Wedding-Ease-Viva-Chat/vite.config.ts + Index.tsx,Catastrophic 4× target; build output byte-identical to Sprint 1
13,WE-20260528-251,S1,P0,fix-frontend,—,Main chat composer textarea has NO accessible name,Wedding-Ease-Viva-Chat/src/components/chat/ChatInput.tsx,WCAG 4.1.2 A blocker — primary input invisible to screen readers
14,WE-20260528-801,S3,P0,fix-backend-api,—,System-role prompt-injection STILL OPEN on main (PR #33 not landed),easebot-backend/src/schemas/chat.ts,Re-confirmation; auto-closes when PR #33 merges
15,WE-20260528-951/952,S3,P0,fix-state-data,—,Offline → online recovery — sendMessage orphans bubble + queued mutations silently fail,Wedding-Ease-Viva-Chat/src/hooks/useChat.ts + useMutation queues,No retry queue exists; no navigator.onLine handler
16,WE-20260528-956,S3,P0,fix-state-data,#1 AuthContext,Firebase ID token expires after 1hr — first send post-expiry returns 401 with no re-auth,Wedding-Ease-Viva-Chat/src/contexts/AuthContext.tsx,Long-session UX cliff; no onIdTokenChanged
17,WE-20260528-968,S3,P0,fix-state-data,#2 cross-tab,AnalyticsConsent — Accept in tab A still shows banner in tab B,Wedding-Ease-Viva-Chat/src/components/AnalyticsConsent.tsx,GDPR liability via cross-tab desync
18,WE-20260528-985,S3,P0,fix-state-data,#2 cross-tab,Note-draft race — two tabs editing same note last-writer-wins silent data loss,Wedding-Ease-Viva-Chat/src/hooks/useNoteEditor.ts,Compound of S2 -554; needs etag/version field
19,WE-20260528-987,S3,P0,fix-state-data,#2 cross-tab,Delete conversation in tab A → tab B sends to removed thread (permission-denied),Wedding-Ease-Viva-Chat/src/hooks/useChat.ts,Cross-tab thread state desync
20,WE-20260528-990,S3,P0,fix-state-data,#2 cross-tab,Guest quota bypass — easebot-guest-msg-count not cross-tab synced (3 tabs = 3× quota),Wedding-Ease-Viva-Chat/src/hooks/useChat.ts guest counter,Revenue leak via quota bypass
21,WE-20260528-991/999,S3,P0,fix-state-data,#1 AuthContext,Tier upgrade — Tab B / ProfileMenu still show free tier after PayU webhook,Wedding-Ease-Viva-Chat/src/contexts/AuthContext.tsx + PaymentSuccess.tsx,Did my payment go through? panic; child of -152
22,WE-20260528-1001,S3,P0,chairman+fix-backend-api,—,GDPR Right-to-Erasure NOT implemented — /api/account/delete is no-op flag,easebot-backend/src/controllers/accountController.ts,GDPR Article 17 violation; ship blocker for EU/India launch
23,WE-20260528-153/155,S1,P0,fix-state-data,#1 AuthContext,Voice change + tier change don't reflect (Settings TTS regression / TokenPoolBar stale),SettingsModal.tsx + useAccount + AuthContext,Children of -152
24,WE-20260528-302/303/304,S1,P1,fix-performance,—,Bundle: 331KB vendor + 355KB route + TipTap eager-loaded 158KB,Wedding-Ease-Viva-Chat/vite.config.ts + Index.tsx + NotesView,Big LCP win; pairs with #12
25,WE-20260528-403/404,S2,P1,fix-backend-api,—,TTS zero caching (every Volume2 click bills Azure) + tone sliders never piped to SSML prosody,easebot-backend/src/controllers/ttsController.ts + voicePresets,UI lies about voice; cost impact every replay
