ticket_id,severity,category,title,bug_summary,fix_summary,pr_url,pr_number,status,wave,assigned_agent,notes
WE-20260527-170,P0,state-sync,AuthContext.profile subscribe via onSnapshot,Profile loaded once via getDoc - never re-fetched; ~25 child stale-everywhere bugs root here,onSnapshot subscribe to users/{uid} so name/tier/avatar fan out without reload,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/32,32,in_review,prior,fix-state-data,Closes 25+ child tickets when merged
WE-20260527-211,P0,security,Defense-in-depth - drop 'system' role + filter,Frontend could submit role='system' messages letting users inject system prompts,Filter system messages on inbound + drop 'system' role at controller,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/33,33,in_review,prior,fix-backend-api,Root of Sprint-3 -801
WE-20260527-227,P0,functional,Treat empty Azure imageUrl[] as failure + refund tokens,Azure returned empty imageUrl array; treated as success; tokens deducted; user saw nothing,Throw on empty array; refund tokens via tokenMeter,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/34,34,in_review,prior,fix-backend-api,
WE-20260527-353,P0,security,Catch Azure content-filter error - brand-agnostic canned refusal,Vendor error leaked raw to client (Azure content-filter internals),Catch + return canned brand-agnostic refusal,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/35,35,in_review,prior,fix-backend-api,
WE-20260527-050,P1,ui,AnalyticsConsent banner blocking pointer events,Banner overlay captured clicks beneath it; consent UI took up no reserved space,Set pointer-events on overlay; reserve layout space for banner,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/36,36,in_review,prior,fix-frontend,
WE-20260527-052,P1,a11y,Mobile chat input + buttons meet 44px touch target,Input + send/mic buttons below 44px on mobile; below Apple HIG minimum,Bump min-h to 44px; pad icons,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/37,37,in_review,prior,fix-frontend,
WE-20260527-202,P1,security,Cap imageData length - resource exhaustion,No length check on base64 imageData; attacker could send GB-scale base64,Hard cap at 13MB base64 (10MB binary equivalent),https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/38,38,in_review,prior,fix-backend-api,
WE-20260527-209,P1,security,Scrub ffmpeg stderr from /api/transcribe,Raw ffmpeg stderr leaked vendor/path internals on transcribe failure,Catch + scrub stderr; return generic transcribe-failed,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/39,39,in_review,prior,fix-backend-api,
WE-20260527-220,P1,chat,Reject image attachments greater than 10MB before upload,Client allowed image attach without size check; 10MB+ images crashed upload pipeline,Add client-side 10MB size guard with user message,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/40,40,in_review,prior,fix-frontend,
WE-20260527-251,P1,a11y,Chat stream wrapped with role=log + aria-live announcer,Screen-reader users got no announcement when AI message streamed,Wrap message stream in role=log + aria-live=polite,https://github.com/MeghaPatel07/Wedding-Ease-Viva-Chat/pull/41,41,in_review,prior,fix-frontend,
