ticket_id,severity,category,title,bug_summary,why_blocked,krish_decision_needed,specialist_who_would_fix,notes
WE-20260528-011/012/804,P0,functional,Pro tier shipping at $10/$79 vs locked $14.99/$119 (revenue leak THREE sprints),PRICING_DATA.ts shows $10/$79 instead of locked $14.99/$119; back-end PRICING table + subscription state machine match the wrong value; confirmed unchanged across three sprints,Locked-decision conflict: project_pricing_rollout.md memory §6 locks $14.99/$119 as Pro tier price. Fix-agents cannot drift locked values without confirmation.,Confirm Pro pricing remains $14.99/$119 OR update locked-decision memory to current shipped $10/$79,fix-frontend + fix-backend-api paired PR,Highest-revenue-impact carry-forward; ~33% revenue leak per paid initiate
WE-20260528-1001,P0,security,GDPR Right-to-Erasure NOT implemented - /api/account/delete is no-op flag,Endpoint only sets a deleted=true flag; no cron purges Firestore user docs/chats/images/notes; GDPR Article 17 violation,Requires either: (a) write Cloud Function purge job (Firebase write = Krish hand-runs), (b) shorter retention policy, (c) documented risk acceptance. Strategy + legal call.,Choose remediation path; if (a) Krish runs Firebase deploy himself per strict rule,fix-backend-api can scaffold once direction chosen,Compliance liability
WE-20260528-202,P0,security,requireAuth silently permissive - guest pass-through everywhere,requireAuth middleware fails open when token missing/invalid - any unauth caller gets through. Compounds with CORS wildcard.,Tightening will break guest flows that currently rely on permissive auth (chat-as-guest etc.). Touches auth contract.,Confirm guest flows should be rejected on burn-quota routes OR document the boundary,fix-backend-api,P0 security umbrella
WE-20260528-248,P0,security,CORS '*' + guest pass-through - drive-by from any origin,app.ts CORS allows wildcard origins; combined with -202 enables Azure quota theft from any site,Choosing allowlist breaks any web-embed Krish has planned for partner sites,Provide CORS origin allowlist OR confirm wildcard is intentional,fix-backend-api,Pairs with -202 / -001 / -1008
WE-20260528-001,P0,security,/api/speech-token returns Azure JWT without auth,Endpoint returns Azure Cognitive Services JWT to anonymous callers; quota theft vector,Public guest TTS playback requires speech-token; tightening drops guest TTS,Confirm guest TTS should be removed OR scope speech-token to per-session quota,fix-backend-api,Cluster #5 leader
WE-20260528-1002,P0,security,Provider enumeration via /api/auth/* responses,Auth endpoint differentiates account-exists vs wrong-password in response,Information-disclosure normalization may break legitimate UX (forgot-password helper text),Confirm flatten all auth responses to opaque error,fix-backend-api,
WE-20260528-1003,P0,security,Shared note PII leak via /share/:shareId,Shared-note endpoint returns full note doc including ownerEmail and lastEditedBy fields,Removing fields breaks any client that consumes them; needs API-version coordination,Confirm PII scrub safe; specify which fields stay,fix-backend-api,
WE-20260528-1004,P0,security,X-Forwarded-For spoof in rate limiter,express-rate-limit trusts X-Forwarded-For without proxy allowlist - any attacker can spoof IP and bypass per-IP limit,Trust-proxy decision depends on deployment topology (Krish knows the LB chain),Confirm trust-proxy value (number of hops) or switch to req.connection.remoteAddress,fix-backend-api,
WE-20260528-1006,P0,security,Feedback endpoint allows impersonation,Feedback endpoint accepts userId from request body without verifying against token,Tightening requires confirming feedback can only originate from authed sessions,Confirm feedback is authed-only OR design unauthed feedback path,fix-backend-api,
WE-20260528-1007,P0,security,requireStrictAuth middleware fails open on token-verify error,Middleware catches verify error and lets request through with req.user=null,Catch path likely intentional for retry tolerance; needs decision,Confirm fail-closed,fix-backend-api,
WE-20260528-1008,P0,security,CORS mutation preflight allows any origin,OPTIONS preflight returns Access-Control-Allow-Origin from request - reflective,Same as -248 - depends on allowlist decision,Pairs with -248,fix-backend-api,
WE-20260528-1009,P0,security,Per-process rate limiter (no shared store) across pm2 cluster,Rate limit memory is per-process; with 4 workers user gets 4x the limit,Requires adding Redis/Memcached - infrastructure decision,Confirm Redis acceptable OR document acceptance,fix-backend-api,Infra dep
WE-20260528-1010,P0,security,Raw err.message leak across endpoints,Multiple endpoints return raw err.message in 500 response - vendor / path leaks,Sweeping fix changes error envelope contract - frontend depends on shape,Confirm flat JSON error envelope (e.g. {code,message}) and frontend can absorb,fix-backend-api,
WE-20260528-760,P1,trajectory,Pricing prompt anchor wording (S2),System prompt mentions specific dollar amounts; legal/policy review needed,Wording is policy/legal,Provide approved wording,fix-backend-api,
WE-20260528-767,P1,trajectory,Distress-handling rail wording (S2),System prompt handling of user distress; needs licensed-clinician review,Wording requires SME review,Provide approved wording,fix-backend-api,
BC-ARCH,P1,state-sync,BroadcastChannel architecture missing - 25-ticket cluster,No cross-tab sync layer; affects AuthContext / ThemeContext / useNoteEditor / Index guest counts / PaymentSuccess / NotificationBadge - 25 child tickets,Architectural decision: roll-your-own BC + storage fallback vs use a library; deployment surface (Brave/Safari fallback paths),Approve a single BC layer pattern; once approved fix-state-data will build it then port child tickets,fix-state-data,Closes ~25 tickets if landed
PERF-BATCHING,P1,perf,Perf PRs not yet shipped (S3 -1114),Sprint 1 perf branches -301..-315 + S3 -1101..-1122 won't help until they batch and land,Strategy: separate perf/sprint-bundle branch vs individual PRs to Bug-Resolve-claude,Confirm batching strategy,fix-performance,
WE-20260527-001,P1,unknown,Placeholder branch - fix never started,Worktree fix-WE-20260527-001 exists with no commits per session_handoff_2026_05_28; original ticket scope unclear,Ticket file may be missing or scope was unclear when first attempted,Confirm whether to retry; if yes provide scope clarification,unclear,Placeholder
WE-20260527-016,P1,unknown,Placeholder branch - fix never started,Same as -001,Same as -001,Confirm whether to retry; if yes provide scope clarification,unclear,Placeholder
WE-20260527-204,P1,unknown,Placeholder branch - fix never started,Same as -001,Same as -001,Confirm whether to retry; if yes provide scope clarification,unclear,Placeholder
ESLINT-FUNCTIONS,P2,tooling,Repo-wide eslint config crash in functions/ (eslint 9.39.4 vs @typescript-eslint plugin mismatch),npm run lint at Wedding-Ease-Viva-Chat root fails project-wide due to @typescript-eslint/no-unused-expressions config crash in functions/ subdir; pre-existing not introduced by any marathon PR; affects every fix-frontend PR's lint step,Tooling decision: bump @typescript-eslint deps in functions/ subdir OR scope ESLint to src/ only OR pin eslint to <9.x,Confirm preferred resolution path,fix-frontend or Krish,Surfaced via PR #51 (WE-20260528-968) work
WE-20260528-851,P1,responsive,RTL infrastructure missing - flipping dir=rtl breaks every page,Zero RTL plumbing: no language switcher; 90+ physical pl-/pr-/ml-/mr- in chat alone; ChatSidebar slides from wrong side and covers own trigger; ChevronLeft/Right + Send icons don't flip; primary-market blocker if Krish targets UAE/Saudi (per AED prices),Single ticket but explicitly tagged as "~2-day refactor" + "deeper polish another sprint" - too big for one fix-agent loop. Needs sweep across every chat/sidebar/settings component + direction-aware icon strategy + drawer animation flip,Confirm priority + decompose into smaller per-component tickets OR commission a single bigger PR explicitly out-of-marathon-cadence,fix-frontend (multi-PR),Cluster #6 leader; closes 7 i18n/RTL tickets when landed
