ticket_id,severity,category,title,blocked_by_file,blocked_by_pr,what_it_does,when_safe_to_dispatch,assigned_agent
WE-20260528-151,P0,state-sync,Nickname change in Settings never reaches AuthContext.profile,src/contexts/AuthContext.tsx,PR #32,Settings nickname write doesn't propagate to AuthContext consumers,After PR #32 (AuthContext onSnapshot) merges to Bug-Resolve-claude,fix-state-data
WE-20260528-153,P0,state-sync,Voice change doesn't propagate to TTS settings (children of -152),src/contexts/AuthContext.tsx,PR #32,Settings TTS voice select writes but TTS reads stale value,After PR #32 merges,fix-state-data
WE-20260528-155,P0,state-sync,TokenPoolBar stale after tier upgrade (children of -152),src/contexts/AuthContext.tsx,PR #32,Token meter shows old tier limits after PayU webhook lands,After PR #32 merges,fix-state-data
WE-20260528-956,P0,state-sync,1hr ID token expiry - first send after returns 401 no re-auth,src/contexts/AuthContext.tsx,PR #32,AuthContext uses onAuthStateChanged not onIdTokenChanged; getIdToken(true) never called,After PR #32 merges; will add onIdTokenChanged listener + 401 retry interceptor,fix-state-data
WE-20260528-104,P1,state-sync,Settings nickname saves OK but has zero UI surfaces,src/components/chat/ChatHeader.tsx + src/components/ProfileMenu.tsx,PR #32 + PR #61,Render nickname missing from ChatHeader/ProfileMenu - even after AuthContext fix,After PR #32 + #61 merge,fix-state-data
WE-20260528-991,P0,state-sync,Tier upgrade Tab B still shows free after PayU webhook,src/contexts/AuthContext.tsx,PR #32,Child of -152; tier label in ProfileMenu stays stale after upgrade in another tab,After PR #32 merges,fix-state-data
WE-20260528-999,P0,state-sync,PaymentSuccess profile stale after PayU webhook,src/contexts/AuthContext.tsx,PR #32,User lands on /payment/success but ProfileMenu still shows free,After PR #32 merges,fix-state-data
WE-20260528-552,P0,state-sync,Multi-tab logout - Tab B keeps authed UI,src/contexts/AuthContext.tsx,PR #32 + BC-ARCH (backlog),Cross-tab logout fails - tab B doesn't observe sign-out from tab A,After PR #32 + BC adoption decision,fix-state-data
WE-20260528-967,P0,state-sync,isHandlingAuth swallows broadcast - logout incomplete,src/contexts/AuthContext.tsx + authService.ts,PR #32 + BC-ARCH (backlog),Paired with -552,After PR #32 + BC adoption decision,fix-state-data
WE-20260528-951,P0,state-sync,Offline -> online sendMessage orphans user bubble,src/hooks/useChat.ts,PR #44,No retry queue - first message after offline silently drops without resurfacing,After PR #44 merges,fix-state-data
WE-20260528-952,P0,state-sync,Queued mutations silently fail offline,src/hooks/useChat.ts,PR #44,Optimistic UI doesn't roll back when network down + service worker rejects,After PR #44 merges,fix-state-data
WE-20260528-987,P0,state-sync,Delete conversation Tab A - Tab B writes to removed thread,src/hooks/useChat.ts,PR #44 + BC-ARCH,Cross-tab thread state desync; permission-denied error from Firestore,After PR #44 + BC adoption,fix-state-data
WE-20260528-805,P1,e2e-flow,Guest signup data loss - 5 messages wiped on onAuthStateChanged,src/pages/Index.tsx + AuthContext,PR #32 + PR #55 + PR #56 + PR #63,No migration code from sessionStorage to new uid Firestore thread,After Index.tsx PRs settle (3-way merge already expected),fix-frontend + fix-backend-api
WE-20260528-403,P1,functional,TTS no cache S2 - repeated speech regenerates each time,src/controllers/ttsController.ts + src/services/azureTTS.ts,PR #57,Cache by text+voice+language hash; respect tier limits,After PR #57 merges,fix-backend-api
WE-20260528-404,P1,functional,Tone-slider personalization stored but zero effect on TTS,src/services/voicePresets.ts + ttsController + azureTTS,PR #57,Wire voicePreset.rate/pitch/volume through to SSML prosody attributes,After PR #57 merges,fix-frontend + fix-backend-api
WE-20260528-110,P2,e2e-flow,SSE Last-Event-ID header ignored - page-reload mid-stream replays from scratch,src/controllers/chatController.ts (stream handler),PR #33 + Cluster #4 (backlog),Implement resumable SSE per Last-Event-ID; track sent events server-side,After PR #33 merges + SSE lifecycle owner picked,fix-backend-api
WE-20260528-651,P2,a11y,S2 typewriter + role=log conflict,src/components/chat/ChatMessages.tsx + useTypewriter,PR #41 + PR #65,role=log announces partial typewriter strokes; should announce on complete,After PR #41 + #65 merge,fix-frontend
WE-20260528-811,P1,e2e-flow,Logout doesn't abort in-flight SSE,src/controllers/chatController.ts + useChat.ts,PR #33 + PR #44,On signOut frontend should send abort signal + backend should drop stream,After PR #33 + #44 merge,fix-frontend + fix-backend-api
WE-20260528-966,P2,e2e-flow,No SSE keepalive ping - intermediaries close idle stream,src/controllers/chatController.ts,PR #33,Add 15s comment heartbeat per spec,After PR #33 merges,fix-backend-api
WE-20260528-978,P1,functional,Abort mid-stream - tokens already deducted (refund missing),src/controllers/chatController.ts + tokenMeter,PR #33,Track partial output then refund unused tokens on abort,After PR #33 merges,fix-backend-api
WE-20260528-1067,P1,a11y,No stream-complete SR announcement (WCAG 4.1.3),src/components/chat/ChatMessages.tsx,PR #41,role=log announces tokens but no completion event,After PR #41 merges,fix-frontend
WE-20260528-105,P1,architecture,Dual write-paths to Firestore - profile + checklists race,services/accountService + services/settingsService + services/checklistService + routes/checklists.ts,Multi-file architectural fix,Canonicalize single write path; needs Krish design choice,Krish decision required (effectively backlog),fix-backend-api + fix-state-data
WE-20260528-301,P0,perf,LCP 10.3s on /chat (regressed to 10s on prod build),Multi-file umbrella,PR #49 + #52 + #56 + #66 (all incremental wins),Compound LCP umbrella - depends on entire perf bundle to land,After perf cluster merged + re-measured,fix-performance
WE-20260528-1101,P0,perf,LCP regressed to 10s in prod build (re-confirmation),Multi-file umbrella,PR #49 + #52 + #56 + #66,Same root as -301,After perf cluster merged + re-measured,fix-performance
